product_name,brand,category,url,price,currency,seller
ASOS DESIGN cargo pants in linen mix in beige - part of a set,Asos,pants,https://www.asos.com/us/asos-design/asos-design-cargo-pants-in-linen-mix-in-beige-part-of-a-set/prd/204381751?clr=beige&colourWayId=204381752&SearchQuery=trousers,57,USD,Asos
ASOS DESIGN Petite parachute cargo pants in white,Asos,pants,https://www.asos.com/us/asos-petite/asos-design-petite-parachute-cargo-pants-in-white/prd/204233442?clr=white&colourWayId=204233452&SearchQuery=pants,46,USD,Asos
Bigbadaboom Штаны карго,Bigbadaboom,pants,https://www.wildberries.ru/catalog/156215673/detail.aspx,2460,RUR,Wildberries
Zamira Свитер вязаный оверсайз с горлом объемный,Zamira,sweater,https://www.wildberries.ru/catalog/114696518/detail.aspx,1392,RUR,Wildberries
Cashmere Turtleneck Long-Sleeve Sweater,Uniqlo,sweater,https://www.uniqlo.com/us/en/products/E450544-000/00?colorDisplayCode=01&sizeDisplayCode=003,130,USD,Uniqlo
Extra Fine Merino Crew Neck Long-Sleeve Sweater,Uniqlo,sweater,https://www.uniqlo.com/us/en/products/E450535-000/00?colorDisplayCode=03&sizeDisplayCode=003,50,USD,Uniqlo
Брюки спортивные CL ND PANT,Reebok,pants,https://www.lamoda.ru/p/rtlacl754401/clothes-reebok-bryuki-sportivnye/,9699,RUR,lamoda
"adidas Originals
Бейсболка",Adidas,hat,https://www.lamoda.ru/p/rtlabd658101/accs-adidasoriginals-beysbolka/,3320,RUR,lamoda
Бейсболка Ess Running Cap,Puma,hat,https://www.lamoda.ru/p/rtlaam864103/accs-puma-beysbolka/,1490,RUR,lamoda
Очки солнцезащитные VO5370S W65673,Vogue,glasses,https://www.lamoda.ru/p/rtlaad799201/accs-vogueeyewear-ochki-solntsezaschitnye/,5150,RUR,lamoda
Очки солнцезащитные GW5146,Greywolf,glasses,https://www.lamoda.ru/p/mp002xm0v5im/accs-greywolf-ochki-solntsezaschitnye/,1832,RUR,lamoda
Кеды Полнота F (6),Thomas Munz,shoes,https://www.lamoda.ru/p/mp002xm1zx70/shoes-thomasmunz-kedy/,4799,RUR,lamoda
Кеды ТВОЕ,Твое,shoes,https://www.ozon.ru/product/kedy-tvoe-870485514/?asb=rBBvzEjRO0n3E8vOi1%252FH93QQLwzV0IbT1IIrTMeMDgc%253D&asb2=wtgZAtx0BlaNhUN6MfwT2khjdcIvorNk97ywNTyoFQhzXgbbxv_pw3Jb740kjV0b&avtc=1&avte=2&avts=1683165281&keywords=кеды&sh=B8OBbZ1dFQ,1314,RUR,Ozon
Футболка ТВОЕ,Твое,t-shirt,https://www.ozon.ru/product/futbolka-tvoe-953676255/?_bctx=CAQQ4qwB&asb2=JZgJBn3l2iPybZZOLy9SXaqueoBmmzoMTRyMsXj49PJ814hQAW5zT8lo_UgI_b7m&avtc=1&avte=2&avts=1683165345&hs=1&miniapp=seller_22114&sh=B8OBbV66BA,720,RUR,Ozon
